,city,state,house_size,bed,bath,price,price_range,city_encoded
7795,Miami,Florida,2257.0,7.0,4.0,685000.0,0-2M,1
7796,Miami,Florida,2752.0,3.0,2.0,243400.0,0-2M,1
7797,Miami,Florida,2120.0,6.0,2.0,264000.0,0-2M,1
7798,Miami,Florida,1195.0,5.0,2.0,415000.0,0-2M,1
7799,Miami,Florida,1398.0,4.0,1.0,135000.0,0-2M,1
7800,Miami,Florida,896.0,2.0,1.0,199999.0,0-2M,1
7801,Miami,Florida,1388.0,5.0,1.0,80000.0,0-2M,1
7802,Miami,Florida,2719.0,7.0,3.0,435000.0,0-2M,1
7803,Miami,Florida,1844.0,3.0,3.0,350000.0,0-2M,1
7804,Miami,Florida,1143.0,4.0,4.0,415000.0,0-2M,1
7805,Miami,Florida,813.0,2.0,1.0,275000.0,0-2M,1
7806,Miami,Florida,793.0,2.0,1.0,259900.0,0-2M,1
7807,Miami,Florida,1050.0,3.0,2.0,265000.0,0-2M,1
7808,Miami,Florida,1155.0,3.0,1.0,330000.0,0-2M,1
7809,Miami,Florida,1298.0,4.0,2.0,299900.0,0-2M,1
7810,Miami,Florida,1020.0,3.0,2.0,315000.0,0-2M,1
7811,Miami,Florida,750.0,2.0,1.0,105000.0,0-2M,1
7812,Miami,Florida,1600.0,4.0,4.0,55000.0,0-2M,1
7813,Miami,Florida,930.0,3.0,1.0,159900.0,0-2M,1
7814,Miami,Florida,1413.0,4.0,3.0,374999.0,0-2M,1
7815,Miami,Florida,2032.0,6.0,2.0,349900.0,0-2M,1
7816,Miami,Florida,1419.0,5.0,3.0,325000.0,0-2M,1
7817,Miami,Florida,2190.0,5.0,3.0,588800.0,0-2M,1
7818,Miami,Florida,1239.0,3.0,2.0,399000.0,0-2M,1
7819,Miami,Florida,1219.0,3.0,2.0,495990.0,0-2M,1
7820,Miami,Florida,1532.0,3.0,1.0,530000.0,0-2M,1
7821,Miami,Florida,1152.0,2.0,1.0,245000.0,0-2M,1
7822,Miami,Florida,1064.0,3.0,1.0,499000.0,0-2M,1
7823,Miami,Florida,1373.0,3.0,1.0,520000.0,0-2M,1
7824,Miami,Florida,2379.0,3.0,2.0,1100000.0,0-2M,1
7825,Miami,Florida,1408.0,3.0,3.0,550000.0,0-2M,1
7826,Miami,Florida,2267.0,4.0,2.0,599000.0,0-2M,1
7827,Miami,Florida,611.0,1.0,1.0,155000.0,0-2M,1
7828,Miami,Florida,3572.0,6.0,5.0,1350000.0,0-2M,1
7829,Miami,Florida,2876.0,3.0,4.0,1450000.0,0-2M,1
7830,Miami,Florida,1841.0,3.0,2.0,799000.0,0-2M,1
7831,Miami,Florida,1540.0,4.0,2.0,650000.0,0-2M,1
7832,Miami,Florida,1776.0,5.0,2.0,895000.0,0-2M,1
7833,Miami,Florida,2013.0,3.0,4.0,795000.0,0-2M,1
7834,Miami,Florida,2292.0,3.0,3.0,995000.0,0-2M,1
7835,Miami,Florida,1287.0,3.0,2.0,575000.0,0-2M,1
7836,Miami,Florida,1849.0,4.0,2.0,830000.0,0-2M,1
