,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
740,Lâm Đồng,"Đà Lạt, Lâm Đồng",500.0,350m² - 500m²,13600000.0,2.0,2.0,6800000000.0,5 tỷ - 10 tỷ,2
741,Lâm Đồng,"Đà Lạt, Lâm Đồng",500.0,350m² - 500m²,13600000.0,2.0,2.0,6800000000.0,5 tỷ - 10 tỷ,2
742,Khánh Hòa,"Nha Trang, Khánh Hòa",75.0,50m² - 100m²,77330000.0,4.0,4.0,5800000000.0,5 tỷ - 10 tỷ,0
743,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,171300000.0,8.0,4.0,18500000000.0,10 tỷ - 20 tỷ,3
744,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,171300000.0,8.0,4.0,18500000000.0,10 tỷ - 20 tỷ,3
745,Khánh Hòa,"Nha Trang, Khánh Hòa",60.0,50m² - 100m²,103330000.0,4.0,5.0,6200000000.0,5 tỷ - 10 tỷ,0
746,Khánh Hòa,"Nha Trang, Khánh Hòa",160.0,150m² - 250m²,275000000.0,23.0,23.0,44000000000.0,40 tỷ - 60 tỷ,0
747,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",115.0,100m² - 150m²,64349999.99999999,8.0,9.0,7400000000.0,5 tỷ - 10 tỷ,3
748,Lâm Đồng,"Đà Lạt, Lâm Đồng",55.0,50m² - 100m²,41820000.0,3.0,2.0,2300000000.0,1 tỷ - 5 tỷ,2
749,Đà Nẵng,"Sơn Trà, Đà Nẵng",80.0,50m² - 100m²,87500000.0,2.0,1.0,7000000000.0,5 tỷ - 10 tỷ,3
750,Đà Nẵng,"Liên Chiểu, Đà Nẵng",62.5,50m² - 100m²,41600000.0,1.0,1.0,2600000000.0,1 tỷ - 5 tỷ,3
751,Đà Nẵng,"Thanh Khê, Đà Nẵng",73.0,50m² - 100m²,74660000.0,4.0,5.0,5450000000.0,5 tỷ - 10 tỷ,3
752,Lâm Đồng,"Đà Lạt, Lâm Đồng",72.0,50m² - 100m²,180560000.0,17.0,17.0,13000000000.0,10 tỷ - 20 tỷ,2
753,Kiên Giang,"Phú Quốc, Kiên Giang",90.0,50m² - 100m²,138890000.0,6.0,7.0,12500000000.0,10 tỷ - 20 tỷ,1
754,Lâm Đồng,"Đà Lạt, Lâm Đồng",300.0,250m² - 350m²,46330000.0,4.0,4.0,13900000000.0,10 tỷ - 20 tỷ,2
755,Kiên Giang,"Phú Quốc, Kiên Giang",110.0,100m² - 150m²,109090000.0,5.0,6.0,12000000000.0,10 tỷ - 20 tỷ,1
756,Đà Nẵng,"Hải Châu, Đà Nẵng",87.5,50m² - 100m²,94860000.0,3.0,4.0,8300000000.000001,5 tỷ - 10 tỷ,3
757,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",311.9,250m² - 350m²,150690000.0,1.0,2.0,47000000000.0,40 tỷ - 60 tỷ,3
758,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",215.0,150m² - 250m²,111630000.0,15.0,16.0,24000000000.0,20 tỷ - 40 tỷ,3
759,Khánh Hòa,"Nha Trang, Khánh Hòa",102.0,100m² - 150m²,105880000.0,3.0,4.0,10800000000.0,10 tỷ - 20 tỷ,0
760,Đà Nẵng,"Liên Chiểu, Đà Nẵng",110.6,100m² - 150m²,58320000.0,3.0,3.0,6450000000.0,5 tỷ - 10 tỷ,3
761,Đà Nẵng,"Liên Chiểu, Đà Nẵng",85.0,50m² - 100m²,67650000.0,4.0,6.0,5750000000.0,5 tỷ - 10 tỷ,3
762,Khánh Hòa,"Nha Trang, Khánh Hòa",66.0,50m² - 100m²,53790000.0,2.0,2.0,3550000000.0,1 tỷ - 5 tỷ,0
763,Đà Nẵng,"Hải Châu, Đà Nẵng",72.5,50m² - 100m²,158620000.0,2.0,2.0,11500000000.0,10 tỷ - 20 tỷ,3
764,Khánh Hòa,"Nha Trang, Khánh Hòa",86.7,50m² - 100m²,74970000.0,4.0,4.0,6500000000.0,5 tỷ - 10 tỷ,0
765,Lâm Đồng,"Đà Lạt, Lâm Đồng",201.0,150m² - 250m²,54730000.0,7.0,3.0,11000000000.0,10 tỷ - 20 tỷ,2
766,Đà Nẵng,"Hải Châu, Đà Nẵng",51.0,50m² - 100m²,70590000.0,3.0,3.0,3600000000.0,1 tỷ - 5 tỷ,3
767,Đà Nẵng,"Thanh Khê, Đà Nẵng",50.0,30m² - 50m²,99800000.0,3.0,3.0,4990000000.0,1 tỷ - 5 tỷ,3
768,Khánh Hòa,"Nha Trang, Khánh Hòa",90.2,50m² - 100m²,110750000.0,3.0,3.0,9990000000.0,5 tỷ - 10 tỷ,0
769,Đà Nẵng,"Hải Châu, Đà Nẵng",59.0,50m² - 100m²,194920000.0,2.0,2.0,11500000000.0,10 tỷ - 20 tỷ,3
770,Khánh Hòa,"Nha Trang, Khánh Hòa",99.8,50m² - 100m²,175350000.0,4.0,4.0,17500000000.0,10 tỷ - 20 tỷ,0
771,Đà Nẵng,"Thanh Khê, Đà Nẵng",56.7,50m² - 100m²,49380000.0,1.0,1.0,2800000000.0,1 tỷ - 5 tỷ,3
