,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
166,Bình Dương,"Thủ Dầu Một, Bình Dương",110.0,100m² - 150m²,17080000.0,3.0,2.0,1880000000.0,1 tỷ - 5 tỷ,0
167,Bình Dương,"Thủ Dầu Một, Bình Dương",110.0,100m² - 150m²,17080000.0,3.0,2.0,1880000000.0,1 tỷ - 5 tỷ,0
168,Đồng Nai,"Nhơn Trạch, Đồng Nai",160.0,150m² - 250m²,81250000.0,4.0,4.0,13000000000.0,10 tỷ - 20 tỷ,2
169,Đồng Nai,"Nhơn Trạch, Đồng Nai",172.0,150m² - 250m²,72670000.0,3.0,3.0,12500000000.0,10 tỷ - 20 tỷ,2
170,Đồng Nai,"Biên Hòa, Đồng Nai",160.0,150m² - 250m²,41250000.0,3.0,3.0,6600000000.0,5 tỷ - 10 tỷ,2
171,Bình Dương,"Dĩ An, Bình Dương",22.0,Dưới 30m²,34770000.0,2.0,1.0,765000000.0,500 triệu - 1 tỷ,0
172,Bình Dương,"Bến Cát, Bình Dương",268.0,250m² - 350m²,15860000.0,2.0,2.0,4250000000.0,1 tỷ - 5 tỷ,0
173,Bình Dương,"Dĩ An, Bình Dương",60.0,50m² - 100m²,16670000.000000002,2.0,2.0,1000000000.0,500 triệu - 1 tỷ,0
174,Bình Dương,"Thủ Dầu Một, Bình Dương",81.9,50m² - 100m²,9770000.0,4.0,4.0,800000000.0,500 triệu - 1 tỷ,0
175,Đồng Nai,"Biên Hòa, Đồng Nai",112.0,100m² - 150m²,27590000.0,3.0,3.0,3090000000.0,1 tỷ - 5 tỷ,2
176,Bình Dương,"Dĩ An, Bình Dương",72.0,50m² - 100m²,79170000.0,4.0,6.0,5700000000.0,5 tỷ - 10 tỷ,0
177,Bình Dương,"Thuận An, Bình Dương",137.5,100m² - 150m²,43640000.0,3.0,2.0,6000000000.0,5 tỷ - 10 tỷ,0
178,Bình Dương,"Thủ Dầu Một, Bình Dương",73.5,50m² - 100m²,63260000.0,3.0,3.0,4650000000.0,1 tỷ - 5 tỷ,0
